source,target,source_id_lab,target_id_lab,weight,weight_recs,weight_tfidf
8,17,UBERON:0001153 Caecum,ASCTB-TEMP:cd57-enterocyte,1,1,2.12858E-05
8,18,UBERON:0001153 Caecum,ASCTB-TEMP:cd66-enterocyte,1,1,0.030289676
8,19,UBERON:0001153 Caecum,ASCTB-TEMP:cd7-immune,1,1,0.001277147
8,20,UBERON:0001153 Caecum,ASCTB-TEMP:cd8-t,1,1,0.034589405
8,21,UBERON:0001153 Caecum,ASCTB-TEMP:cycling-ta,1,1,0.03850599
8,22,UBERON:0001153 Caecum,ASCTB-TEMP:dc,1,1,0.012750187
8,23,UBERON:0001153 Caecum,ASCTB-TEMP:endothelial,1,1,0.053597613
8,24,UBERON:0001153 Caecum,ASCTB-TEMP:enterocyte,1,1,0.058279002
8,25,UBERON:0001153 Caecum,ASCTB-TEMP:goblet,1,1,0.07988556
8,26,UBERON:0001153 Caecum,ASCTB-TEMP:icc,1,1,0.005908287
8,27,UBERON:0001153 Caecum,ASCTB-TEMP:lymphatic,1,1,0.02122193
8,28,UBERON:0001153 Caecum,ASCTB-TEMP:m1-macrophage,1,1,0.001937007
8,29,UBERON:0001153 Caecum,ASCTB-TEMP:m2-macrophage,1,1,0.039208421
8,30,UBERON:0001153 Caecum,ASCTB-TEMP:muc1-enterocyte,1,1,0.009514747
8,31,UBERON:0001153 Caecum,ASCTB-TEMP:nerve,1,1,0.014516907
8,32,UBERON:0001153 Caecum,ASCTB-TEMP:neuroendocrine,1,1,0.002767152
8,33,UBERON:0001153 Caecum,ASCTB-TEMP:neutrophil,1,1,0.004065585
8,34,UBERON:0001153 Caecum,ASCTB-TEMP:nk,1,1,0.001639006
8,35,UBERON:0001153 Caecum,ASCTB-TEMP:paneth,1,1,0.000611898
8,36,UBERON:0001153 Caecum,ASCTB-TEMP:plasma,1,1,0.058280486
8,37,UBERON:0001153 Caecum,ASCTB-TEMP:smooth-muscle,1,1,0.097531478
8,38,UBERON:0001153 Caecum,ASCTB-TEMP:stroma,1,1,0.09231646
8,39,UBERON:0001153 Caecum,ASCTB-TEMP:ta,1,1,0.026256952
9,15,UBERON:0001156 Ascending Colon,ASCTB-TEMP:b,1,2,0.008943203
9,16,UBERON:0001156 Ascending Colon,ASCTB-TEMP:cd4-t-cell,1,2,0.035712016
9,17,UBERON:0001156 Ascending Colon,ASCTB-TEMP:cd57-enterocyte,1,2,0.000138764
9,18,UBERON:0001156 Ascending Colon,ASCTB-TEMP:cd66-enterocyte,1,2,0.032068585
9,19,UBERON:0001156 Ascending Colon,ASCTB-TEMP:cd7-immune,1,2,0.001156969
9,20,UBERON:0001156 Ascending Colon,ASCTB-TEMP:cd8-t,1,2,0.035294663
9,21,UBERON:0001156 Ascending Colon,ASCTB-TEMP:cycling-ta,1,2,0.033155067
9,22,UBERON:0001156 Ascending Colon,ASCTB-TEMP:dc,1,2,0.013396103
9,23,UBERON:0001156 Ascending Colon,ASCTB-TEMP:endothelial,1,2,0.05481977
9,24,UBERON:0001156 Ascending Colon,ASCTB-TEMP:enterocyte,1,2,0.059819265
9,25,UBERON:0001156 Ascending Colon,ASCTB-TEMP:goblet,1,2,0.0626221
9,26,UBERON:0001156 Ascending Colon,ASCTB-TEMP:icc,1,2,0.00582696
9,27,UBERON:0001156 Ascending Colon,ASCTB-TEMP:lymphatic,1,2,0.021637222
9,28,UBERON:0001156 Ascending Colon,ASCTB-TEMP:m1-macrophage,1,2,0.005007259
9,29,UBERON:0001156 Ascending Colon,ASCTB-TEMP:m2-macrophage,1,2,0.036524016
9,30,UBERON:0001156 Ascending Colon,ASCTB-TEMP:muc1-enterocyte,1,2,0.009145012
9,31,UBERON:0001156 Ascending Colon,ASCTB-TEMP:nerve,1,2,0.02075054
9,32,UBERON:0001156 Ascending Colon,ASCTB-TEMP:neuroendocrine,1,2,0.003173323
9,33,UBERON:0001156 Ascending Colon,ASCTB-TEMP:neutrophil,1,2,0.005225953
9,34,UBERON:0001156 Ascending Colon,ASCTB-TEMP:nk,1,2,0.001546834
9,35,UBERON:0001156 Ascending Colon,ASCTB-TEMP:paneth,1,2,0.000689072
