rui_location,organ,as_label,as_id,intersection_volume
http://purl.org/ccf/1.5/769ca7e9-ead0-4882-966c-d6f5c273c2ee,VHMRightKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,109925.0
http://purl.org/ccf/1.5/db35f27d-313f-4dd6-819b-375cf106aac1,VHMRightKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,109925.0
http://purl.org/ccf/1.5/df0b33f7-371a-47a4-a636-a27db19bdbc9,VHMRightKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,109925.0
http://purl.org/ccf/1.5/314450f7-0477-4152-b4d6-cb474cbc0cd7,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2109804.0
http://purl.org/ccf/1.5/56d63930-60f2-49f5-a3bb-afc8d865c152,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2109804.0
http://purl.org/ccf/1.5/cce37703-e4e8-454c-a0c4-4ff58652ab8f,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2109804.0
http://purl.org/ccf/1.5/d16014ad-8b92-487b-bca7-044d3d745dba,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2109804.0
http://purl.org/ccf/1.5/fcfcc65b-f91f-4447-a29b-c9836104570c,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2109804.0
http://purl.org/ccf/1.5/ff034c0c-a625-48b8-891c-857e556db1c4,VHMSkin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,2109804.0
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,10111.84
http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,VHMSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,14601.44
http://purl.org/ccf/1.5/2b38ef86-7e4d-4e27-b9c6-d2015ec49692,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,10111.84
http://purl.org/ccf/1.5/3177d8d7-3b26-4aa3-9984-3c112d461446,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,10554.94
http://purl.org/ccf/1.5/3177d8d7-3b26-4aa3-9984-3c112d461446,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,7109.89
http://purl.org/ccf/1.5/42b97dcb-2033-40ea-82a2-319a1e30dca2,VHMSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,10554.94
http://purl.org/ccf/1.5/42b97dcb-2033-40ea-82a2-319a1e30dca2,VHMSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,7109.89
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,10111.84
http://purl.org/ccf/1.5/502f175c-9d55-4341-b6ff-0f04d76522d5,VHMSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,194372.1
http://purl.org/ccf/1.5/5d35eae0-82df-40c7-952c-6fbab03034b2,VHMSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,10111.84
